name,ra,dec,z,+/-
NGC 0113,6.727666667,-2.500888889,0.0148700001,6.29999995e-05
NGC 0114,6.742631514,-1.78624846,0.0138729997,0.000150000007
NGC 0115,6.692833333,-33.67708333,0.00608900003,1.89999992e-05
NGC 0116,6.771791667,-7.66825,0.0252609998,7.9999998e-05
NGC 0117,6.796125,1.333722222,0.0178890005,0.000132999994
NGC 0118,6.817593413,-1.780139441,0.0375260003,0.000203000003
NGC 0119,6.740041667,-56.97805556,0.0247840006,0.000132999994
NGC 0120,6.875333333,-1.513472222,0.0132889999,3.9999999e-05
NGC 0124,6.968166667,-1.810194444,0.0135430004,1.99999995e-05
NGC 0125,7.209125,2.838861111,0.0176989995,2.99999992e-05
NGC 0126,7.28375,2.811111111,0.0134990001,8.2999999e-05
NGC 0127,7.301542572,2.872708027,0.0136559997,4.99999987e-05
NGC 0128,7.31275,2.864055556,0.0141460001,5.29999998e-05
NGC 0130,7.327291667,2.870444444,0.0147869997,5.99999985e-05
NGC 0131,7.4105,-33.25975,0.00470300019,5.70000011e-05
NGC 0132,7.544625,2.093444444,0.0178950001,2.59999997e-05
NGC 0134,7.591541667,-33.24402778,0.0052769999,9.99999975e-06
NGC 0135,7.941416667,-13.33747222,0.0239870008,0.000150000007
NGC 0137,7.742083333,10.20841667,0.0175989997,0.000102999998
NGC 0138,7.746833333,5.15975,0.039673999,0.000102999998
NGC 0139,7.776666667,5.07875,0.0406709984,0.000113000002
NGC 0140,7.835291667,30.7925,0.0214579999,2.99999992e-05
NGC 0141,7.822666667,5.17975,0.0392270014,0.000102999998
NGC 0142,7.783666667,-22.61866667,0.0267350003,0.000127000007
NGC 0143,7.815083333,-22.55994444,0.0268489998,3.30000003e-05
NGC 0144,7.836125,-22.64572222,0.0272090007,0.00013
NGC 0145,7.940583333,-5.152638889,0.0138039999,1.80000006e-05
NGC 0147,8.3005,48.50875,-0.000644000014,9.99999975e-06
NGC 0148,8.564583333,-31.786,0.00505700009,3.30000003e-05
NGC 0149,8.459416667,30.72341667,0.0161550008,9.69999965e-05
NGC 0150,8.5645,-27.80358333,0.00528400019,1.29999999e-05
NGC 0151,8.511618342,-9.705335215,0.0124989999,1.70000003e-05
NGC 0151,8.511618342,-9.705335215,0.0124989999,1.70000003e-05
NGC 0154,8.581142564,-12.65631384,0.0267849993,5.29999998e-05
NGC 0155,8.667004654,-10.76651257,0.0207139999,5.99999985e-05
NGC 0157,8.694833333,-8.396444444,0.00551000005,1.70000003e-05
NGC 0159,8.648041667,-55.78997222,0.0279760007,4.3e-05
NGC 0160,9.016916667,23.95788889,0.0175250005,1.70000003e-05
NGC 0161,8.891409708,-2.848697862,0.0203109998,0.000142999997
NGC 0163,8.99928182,-10.1216972,0.0199539997,4.70000014e-05
NGC 0164,9.137125,2.749777778,,
NGC 0165,9.120509271,-10.10615851,0.0196170006,2.99999992e-05
NGC 0166,8.95325,-13.61063889,0.0200839993,0.000127000007
NGC 0167,8.846208333,-23.375,0.0128119998,3.9999999e-05
NGC 0168,9.161083333,-22.5935,0.0129800001,3.9999999e-05
NGC 0169,9.215,23.99091667,0.0154339997,2.99999992e-05
NGC 0170,9.190916667,1.886472222,0.0142400004,0.000113000002
NGC 0171,9.339708333,-19.93425,0.0130430004,2.20000002e-05
NGC 0172,9.306708333,-22.58702778,0.0101640001,9.99999975e-06
NGC 0173,9.301958333,1.94225,0.0145629998,1.70000003e-05
NGC 0174,9.245583333,-29.47783333,0.0119049996,2.99999992e-05
NGC 0171,9.339708333,-19.93425,0.0130430004,2.20000002e-05
NGC 0177,9.393083333,-22.54925,0.0127919996,1.29999999e-05
NGC 0178,9.785,-14.17283333,0.0048270002,9.99999975e-06
NGC 0179,9.442833333,-17.84947222,0.0199340004,2.99999992e-05
NGC 0180,9.490416667,8.635194444,0.017616,3.00000011e-06
NGC 0181,9.596708333,29.47258333,0.0184630007,3.30000003e-05
NGC 0182,9.551583333,2.728555556,0.0175490007,1.99999995e-05
NGC 0183,9.622458333,29.51122222,0.0180190001,0.000102999998
NGC 0184,9.649083333,29.44761111,0.0176420007,3.30000003e-05
NGC 0185,9.741541667,48.33738889,-0.00067400001,9.99999975e-06
NGC 0186,9.605416667,3.166444444,0.0155509999,0.000167000006
NGC 0187,9.876708333,-14.65630556,0.0131320003,2.99999992e-05
NGC 0191,9.747664809,-9.002610817,0.0202670004,0.000107
NGC 0192,9.805977917,0.8643358333,0.0137870004,7.99999998e-06
NGC 0193,9.827445833,3.331116667,0.0147230001,4.99999987e-05
NGC 0194,9.82675,3.037444444,0.0174390003,3.70000016e-05
NGC 0195,9.899132089,-9.194537447,0.0163679998,2.30000005e-05
NGC 0196,9.824327826,0.912763227,0.0141930003,7.9999998e-05
NGC 0197,9.82830251,0.8919207905,0.0137459999,5.90000018e-05
NGC 0198,9.84575,2.797916667,0.0175960008,0.000136999995
NGC 0199,9.888208333,3.138527778,0.0153510002,3.30000003e-05
NGC 0200,9.895333333,2.887444444,0.0172419995,2.7e-05
NGC 0201,9.895083333,0.8598888889,0.0147280004,6.19999992e-05
NGC 0202,9.916041667,3.536277778,0.0133159999,0.000110000001
NGC 0203,9.914708333,3.442888889,0.0174150001,0.000132999994
NGC 0204,9.934458333,3.299583333,0.0179859996,0.000123000005
MESSIER 110,10.092,41.68530556,-0.00080400001,9.99999975e-06
NGC 0207,9.919625,-14.23708333,0.0132759996,1.70000003e-05
NGC 0208,10.07325,2.7565,0.0170719996,0.000159999996
NGC 0209,9.765008745,-18.60827845,0.0131120002,7.9999998e-05
NGC 0210,10.14591667,-13.87280556,0.00545699988,9.99999975e-06
NGC 0203,9.914708333,3.442888889,0.0174150001,0.000132999994
NGC 0212,10.05554167,-56.15302778,0.0275519993,2.80000004e-05
NGC 0213,10.29166667,16.46938889,0.0181729998,3.30000003e-05
NGC 0214,10.36679,25.49944083,0.0151340002,1.29999999e-05
NGC 0215,10.203625,-56.21405556,0.0275020003,1.89999992e-05
NGC 0216,10.36314,-21.04545,0.0051500001,1.99999995e-05
NGC 0217,10.39122147,-10.02142941,0.0132619999,3.30000003e-05
NGC 0218,11.63329167,36.32561111,0.0374259986,3.30000003e-05
NGC 0219,10.54712811,0.9045449282,0.0182520002,8.19999987e-05
MESSIER 032,10.6743,40.86528694,-0.000667000015,1.99999995e-05
NGC 0223,10.56615024,0.8454895342,0.0177720003,7.10000022e-05
MESSIER 031,10.68479292,41.269065,-0.00100100006,1.29999999e-05
NGC 0226,10.72516667,32.58097222,0.0160939991,2.99999992e-05
NGC 0227,10.65345833,-1.528777778,0.0176689997,9.30000024e-05
NGC 0228,10.727125,23.50305556,0.0247370005,0.000150000007
NGC 0229,10.76933333,23.50911111,0.0245140009,8.2999999e-05
NGC 0230,10.61320833,-23.62880556,0.0225460008,0.000136999995
NGC 0232,10.69091667,-23.56136111,0.0226390008,0.000150000007
NGC 0233,10.90233333,30.587,0.0180859994,9.00000014e-05
NGC 0234,10.88497716,14.34256381,0.014877,3e-06
NGC 0236,10.86475,2.958194444,0.0188229997,3.70000016e-05
NGC 0237,10.86600708,-0.1249290424,0.0139260003,1.99999995e-05
NGC 0238,10.85729167,-50.18283333,0.0287059993,2.59999997e-05
NGC 0239,11.15629167,-3.75925,0.0126320003,0.000102999998
NGC 0240,11.25804167,6.113361111,0.0408249982,0.000172999993
NGC 0243,11.503625,29.9595,0.0159680005,3.30000003e-05
NGC 0244,11.44345833,-15.59688889,0.00313999993,2.09999998e-05
NGC 0245,11.52245833,-1.723388889,0.0136040002,3.50000009e-05
NGC 0247,11.785625,-20.76038889,0.000520000001,7.0000001e-06
NGC 0250,11.81670833,7.910027778,0.0174589995,9.30000024e-05
NGC 0251,11.975125,19.59683333,0.0151840001,1.70000003e-05
NGC 0252,12.00625,27.62363889,0.0164710004,4.3e-05
NGC 0253,11.88800218,-25.28821964,0.000811000005,7.0000001e-06
NGC 0254,11.86504167,-31.42175,0.00543399993,5.29999998e-05
NGC 0255,11.94711481,-11.46870256,0.00528699998,1.29999999e-05
NGC 0257,12.00629167,8.297083333,0.0175919998,7.0000001e-06
NGC 0258,12.05329322,27.65720307,,
NGC 0259,12.01370833,-2.775333333,0.0134920003,2.09999998e-05
NGC 0260,12.144375,27.69244444,0.0173850004,1.99999995e-05
NGC 0262,12.1964225,31.95696806,0.0150340004,1.29999999e-05
NGC 0263,12.20195833,-13.10738889,0.0289999992,2.30000005e-05
NGC 0264,12.08725,-38.23436111,0.0166350007,0.000150000007
NGC 0266,12.44916667,32.27772222,0.0155469999,1.70000003e-05
NGC 0268,12.53983333,-5.193722222,0.0183259994,1.29999999e-05
NGC 0270,12.6355,-8.651638889,0.0125850001,7.30000029e-05
NGC 0271,12.67441667,-1.91025,0.0137729999,4.70000014e-05
NGC 0273,12.701875,-6.885694444,0.0161949992,7.00000019e-05
NGC 0274,12.75775,-7.056944444,0.00583699998,3.30000003e-05
NGC 0275,12.7675,-7.066666667,0.00581699982,1.40000002e-05
NGC 0276,13.027375,-22.68013889,0.0468260013,0.000150000007
NGC 0277,12.82179749,-8.596831008,0.0142829996,4.99999987e-05
NGC 0278,13.01795833,47.5505,0.00209000008,3.00000011e-06
NGC 0279,13.03729167,-2.218444444,0.0129359998,7.6999997e-05
NGC 0280,13.12608333,24.35058333,0.0337070003,3.30000003e-05
NGC 0282,13.175625,30.63905556,0.0222590007,9.69999965e-05
NGC 0283,13.30505853,-13.16389167,0.0378229991,3.30000003e-05
NGC 0284,13.35112523,-13.15886155,0.0384600013,0.000119999997
NGC 0285,13.37452604,-13.16071779,0.037976,0.00023
NGC 0286,13.376596,-13.11277289,0.0362779982,0.000127000007
NGC 0287,13.367875,32.48230556,0.018383,8.70000003e-05
NGC 0289,13.1765,-31.20583333,0.00543399993,7.0000001e-06
NGC 0291,13.37466979,-8.767798318,0.0190290008,1.40000002e-05
Small Magellanic Cloud,13.18658803,-72.82859942,0.000526999997,1.29999999e-05
NGC 0293,13.5665,-7.235472222,0.0191430002,1.99999995e-05
NGC 0296,13.78129167,31.54227778,0.0181990005,2.30000005e-05
NGC 0297,13.74558333,-7.349666667,0.0507780015,0.000150000007
